Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To,Valid HTTPS,Defaults to HTTPS,Downgrades HTTPS,Strictly Forces HTTPS,HTTPS Bad Chain,HTTPS Bad Hostname,HTTPS Expired Cert,HTTPS Self Signed Cert,HSTS,HSTS Header,HSTS Max Age,HSTS Entire Domain,HSTS Preload Ready,HSTS Preload Pending,HSTS Preloaded,Base Domain HSTS Preloaded,Domain Supports HTTPS,Domain Enforces HTTPS,Domain Uses Strong HSTS,Unknown Error
acl.gov,acl.gov,https://www.acl.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
acquisition.gov,acquisition.gov,https://acquisition.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains;preload;,63072000,True,True,False,False,False,True,True,True,False
acus.gov,acus.gov,https://acus.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,True,True,True,True,True,False
acwi.gov,acwi.gov,https://acwi.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,False,False,True,True,True,False
ada.gov,ada.gov,https://www.ada.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
adf.gov,adf.gov,http://adf.gov,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
adlnet.gov,adlnet.gov,http://adlnet.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
admongo.gov,admongo.gov,https://www.admongo.gov,True,True,https://www.consumer.ftc.gov/admongo/,True,True,False,True,False,False,False,False,True,max-age=31536000 ; includeSubDomains ; preload,31536000,True,True,False,False,False,True,True,True,False
adr.gov,adr.gov,https://www.adr.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
afadvantage.gov,afadvantage.gov,https://afadvantage.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
aff.gov,aff.gov,https://www.aff.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False
afrh.gov,afrh.gov,https://www.afrh.gov,True,False,,False,True,False,True,True,False,False,False,True,max-age=157680000,157680000,False,False,False,False,False,True,True,True,False
africanamericanhistorymonth.gov,africanamericanhistorymonth.gov,http://africanamericanhistorymonth.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
aftac.gov,aftac.gov,http://aftac.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
afterschool.gov,afterschool.gov,http://www.afterschool.gov,True,True,http://findyouthinfo.gov/,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
ag.gov,ag.gov,http://ag.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
aging.gov,aging.gov,https://aging.gov,True,True,https://www.hhs.gov/aging,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubdomains; preload,31536000,True,True,False,False,False,True,True,True,False
agingstats.gov,agingstats.gov,https://agingstats.gov,True,False,,True,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
ahcpr.gov,ahcpr.gov,https://ahcpr.gov,True,True,https://www.ahrq.gov/,True,True,False,False,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
ahrq.gov,ahrq.gov,https://www.ahrq.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
aids.gov,aids.gov,http://aids.gov,True,True,https://www.hiv.gov/,True,False,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
airnow.gov,airnow.gov,https://airnow.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains; preload,63072000,True,True,False,False,False,True,True,True,False
alaskacenters.gov,alaskacenters.gov,https://www.alaskacenters.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
alertaenlinea.gov,alertaenlinea.gov,https://www.alertaenlinea.gov,True,True,https://www.consumidor.ftc.gov/destacado/destacado-s0038-alerta-en-linea,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
altusandc.gov,altusandc.gov,http://www.altusandc.gov,True,True,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
alzheimers.gov,alzheimers.gov,https://www.alzheimers.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
ama.gov,ama.gov,https://www.ama.gov,True,True,https://sso.treasury.gov/login/forms/uid/fsprod?TYPE=33554433&REALMOID=06-1a0d7f9a-c0dd-1007-85bb-862082da0000&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-PIxjJuC2wk%2f26VsXdUlc95TGuiWVVsYZKYloqOycyZr70QA03ZGNaf0Ql9j7Rmc6%2f5O%2bQsmwWao910nxrGDpEXPm0lHu%2f9US&TARGET=-SM-HTTPS%3a%2f%2fsso.treasury.gov%2flogin%2fredirect%2fuid%2ffsprod%3fSAMLRequest%3dfZLRboIwFIZfhfReWhFQGyFhmmUmbiPKdrGbpcWiJNCyniLz7Vdhy1yyeNOb-%2Fuc753ztAlhdNTRpzVFuxUcrwDifdSWB9hcRarWkikEJVLJaADU53SWPG-%2Bq5hDZaGZWrCjkJgNCmVHKpJLS10DuhT2UuXrabCB2NaYBi3HWdy2rmHtQJX-%2BgYGmwRRVkJ3CgwmOWAnJUdoZTsAvstBVCu0YJBq899PSuKTnAYugBuWl6VeU-%2F1bBY561WE3v2ATHN-%2FRuZsFoahT3hACj7lPrfnnnHC2STIQxsGaMVagmHSRMgj4-%2Blo7I3GQUYCOpnTie8S4r0h517pXPSqIlSwCgRy0m8Fd6Xcl-%2FJw2xcfQkAfsiwdpc-%2B7DDmvQkO-%2Fqg2geHHZgPbz6Kt3uI1lP-%2FJR-%2FI-%2FqBb5iDg0a-%2BmQh61WqrLSzk1SV6pbWrhERMroVCMdD1d-%2BPEX8B%26SMPORTALURL%3dhttps-%3A-%2F-%2Fsso.treasury.gov-%2Faffwebservices-%2Fpublic-%2Fsaml2sso,True,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True,False
amberalert.gov,amberalert.gov,https://amberalert.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000;includeSubDomains;preload,31536000,True,True,False,False,False,True,True,True,False
america.gov,america.gov,https://america.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
americanmemory.gov,americanmemory.gov,http://americanmemory.gov,True,True,https://www.loc.gov/,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
americaslibrary.gov,americaslibrary.gov,http://www.americaslibrary.gov,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
americasstory.gov,americasstory.gov,http://americasstory.gov,True,True,http://www.americaslibrary.gov/,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
americathebeautifulquarters.gov,americathebeautifulquarters.gov,https://americathebeautifulquarters.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31560000; includeSubDomains; preload,31560000,True,True,False,False,False,True,True,True,False
americorp.gov,americorp.gov,http://americorp.gov,True,True,https://www.nationalservice.gov/programs/americorps,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
americorps.gov,americorps.gov,http://americorps.gov,True,True,https://www.nationalservice.gov/programs/americorps,True,False,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
ameslab.gov,ameslab.gov,https://www.ameslab.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
amtrakoig.gov,amtrakoig.gov,https://www.amtrakoig.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
anchorit.gov,anchorit.gov,https://www.anchorit.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True,False
anl.gov,anl.gov,http://www.anl.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
annualcreditreport.gov,annualcreditreport.gov,http://annualcreditreport.gov,True,True,https://www.consumer.ftc.gov/articles/0155-free-credit-reports,False,False,False,True,True,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True,False
anstaskforce.gov,anstaskforce.gov,https://anstaskforce.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubDomains; preload,63072000,True,True,False,False,False,True,True,True,False
aoa.gov,aoa.gov,http://aoa.gov,True,True,https://www.acl.gov/,False,False,False,True,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aoc.gov,aoc.gov,http://aoc.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
ap.gov,ap.gov,http://ap.gov,True,True,https://www.bis.doc.gov/index.php/other-areas/additional-protocol-ap,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
app.gov,app.gov,https://app.gov,True,True,https://apps.gov/,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
applicationmanager.gov,applicationmanager.gov,https://applicationmanager.gov,True,True,https://login.usajobs.gov/account/signin?ReturnUrl=%2fissue%2fwsfed%3fwa%3dwsignin1.0%26wtrealm%3dhttps%253a%252f%252fapplicationmanager.gov%252f%26wctx%3drm%253d0%2526id%253dpassive%2526ru%253d%25252f%26wct%3d2017-12-15T05%253a45%253a38Z&wa=wsignin1.0&wtrealm=https%3a%2f%2fapplicationmanager.gov%2f&wctx=rm%3d0%26id%3dpassive%26ru%3d%252f&wct=2017-12-15T05%3a45%3a38Z,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
apps.gov,apps.gov,https://apps.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
arc.gov,arc.gov,http://www.arc.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
archives.gov,archives.gov,https://www.archives.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False
arctic.gov,arctic.gov,https://arctic.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
arm.gov,arm.gov,https://www.arm.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
ars-grin.gov,ars-grin.gov,https://www.ars-grin.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True,False
arsusda.gov,arsusda.gov,http://arsusda.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
arts.gov,arts.gov,https://www.arts.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,True,False,False,False,True,True,True,False
asap.gov,asap.gov,https://asap.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536001; includesSubDomains,31536001,False,False,False,False,False,True,True,True,False
asc.gov,asc.gov,https://www.asc.gov,True,False,,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
asianpacificheritage.gov,asianpacificheritage.gov,http://asianpacificheritage.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
askkaren.gov,askkaren.gov,https://askkaren.gov,True,True,https://www.fsis.usda.gov/wps/portal/informational/askkaren,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,False,False,True,True,True,False
atcreform.gov,atcreform.gov,https://www.atcreform.gov,True,True,https://www.smarterskies.gov/,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
atf.gov,atf.gov,https://www.atf.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True,False
atfonline.gov,atfonline.gov,https://www.atfonline.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
atvsafety.gov,atvsafety.gov,http://atvsafety.gov,True,True,https://www.cpsc.gov/Safety-Education/Safety-Education-Centers/ATV-Safety-Information-Center/,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
aviationweather.gov,aviationweather.gov,http://aviationweather.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
ayudaconmibanco.gov,ayudaconmibanco.gov,https://ayudaconmibanco.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=46915200; includeSubDomains; preload,46915200,True,True,False,False,False,True,True,True,False
bam.gov,bam.gov,http://bam.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
bankanswers.gov,bankanswers.gov,https://bankanswers.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=46915200; includeSubDomains; preload,46915200,True,True,False,False,False,True,True,True,False
bankcustomer.gov,bankcustomer.gov,https://bankcustomer.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=46915200; includeSubDomains; preload,46915200,True,True,False,False,False,True,True,True,False
bankcustomerassistance.gov,bankcustomerassistance.gov,https://bankcustomerassistance.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=46915200; includeSubDomains; preload,46915200,True,True,False,False,False,True,True,True,False
bankhelp.gov,bankhelp.gov,https://bankhelp.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=46915200; includeSubDomains; preload,46915200,True,True,False,False,False,True,True,True,False
banknet.gov,banknet.gov,https://banknet.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=46915200; includeSubDomains; preload,46915200,True,True,False,False,False,True,True,True,False
bankruptcy.gov,bankruptcy.gov,http://www.bankruptcy.gov,True,True,http://www.uscourts.gov/services-forms/bankruptcy,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
bats.gov,bats.gov,https://www.bats.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False
bbg.gov,bbg.gov,https://www.bbg.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
bcfp.gov,bcfp.gov,https://bcfp.gov,True,True,https://www.consumerfinance.gov/,True,True,False,False,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
bea.gov,bea.gov,https://bea.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
befoodsafe.gov,befoodsafe.gov,https://befoodsafe.gov,True,True,https://www.fsis.usda.gov/wps/portal/fsis/topics/food-safety-education/teach-others/fsis-educational-campaigns/be-food-safe,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload;,31536000,True,True,False,False,False,True,True,True,False
benefits.gov,benefits.gov,https://benefits.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000;,31536000,False,False,False,False,False,True,True,True,False
bep.gov,bep.gov,http://bep.gov,True,False,,False,False,False,False,True,True,False,False,False,,,False,False,False,False,False,False,False,False,False
betobaccofree.gov,betobaccofree.gov,https://betobaccofree.gov,True,True,https://betobaccofree.hhs.gov/,False,True,False,True,False,False,True,False,True,max-age=31536000;includeSubDomains;preload,31536000,True,True,False,False,False,False,False,True,False
bfem.gov,bfem.gov,https://bfem.gov,True,True,https://arc.publicdebt.treas.gov/financial_management_budget_formulation.htm,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
bia.gov,bia.gov,https://www.bia.gov,True,False,,False,True,False,True,True,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
bidentransition.gov,bidentransition.gov,http://bidentransition.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
bioeco.gov,bioeco.gov,http://bioeco.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
bioethics.gov,bioethics.gov,http://bioethics.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
biomassboard.gov,biomassboard.gov,http://biomassboard.gov,True,False,,True,False,False,False,False,False,False,False,False,,,False,False,False,False,False,True,False,False,False
biometriccoe.gov,biometriccoe.gov,http://biometriccoe.gov,True,True,https://www.fbi.gov/services/cjis/fingerprints-and-other-biometrics/biometric-center-of-excellence,True,False,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
biometrics.gov,biometrics.gov,http://biometrics.gov,True,True,https://www.dhs.gov/biometrics/,True,False,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
biopreferred.gov,biopreferred.gov,https://www.biopreferred.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubdomains; preload,31536000,True,True,False,False,False,True,True,True,False
biosecurityboard.gov,biosecurityboard.gov,http://biosecurityboard.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
bja.gov,bja.gov,https://www.bja.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; always,31536000,False,False,False,False,False,True,True,True,False
bjs.gov,bjs.gov,https://bjs.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
bldrdoc.gov,bldrdoc.gov,http://bldrdoc.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
blm.gov,blm.gov,https://www.blm.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31622400; includeSubDomains,31622400,True,True,False,False,False,True,True,True,False
bls.gov,bls.gov,https://www.bls.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True,False
bnl.gov,bnl.gov,https://www.bnl.gov,True,False,,True,True,False,True,False,False,False,False,True,'max-age=10886400',10886400,False,False,False,False,False,True,True,False,False
boem.gov,boem.gov,https://www.boem.gov,True,False,,True,True,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
boemre.gov,boemre.gov,http://boemre.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
bondpro.gov,bondpro.gov,https://bondpro.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
bop.gov,bop.gov,https://www.bop.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False
bor.gov,bor.gov,http://bor.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
bosque.gov,bosque.gov,https://bosque.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,True,False,False,False,False,True,True,True,False
bpa.gov,bpa.gov,https://www.bpa.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=63072000; includeSubDomains; preload,63072000,False,False,False,False,False,True,True,True,False
brac.gov,brac.gov,http://brac.gov,True,False,,False,False,False,False,True,False,False,True,False,,,False,False,False,False,False,True,False,False,False
brainhealth.gov,brainhealth.gov,http://brainhealth.gov,True,True,https://brainhealth.nia.nih.gov/,True,False,False,False,False,False,False,False,True,max-age=31536000; includeSubdomains;,31536000,True,False,False,False,False,True,False,True,False
brc.gov,brc.gov,http://brc.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
broadband.gov,broadband.gov,http://www.broadband.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
broadbandmap.gov,broadbandmap.gov,https://www.broadbandmap.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
bsee.gov,bsee.gov,https://www.bsee.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
bts.gov,bts.gov,https://www.bts.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31622400,31622400,False,False,False,False,False,True,True,True,False
budget.gov,budget.gov,https://budget.gov,True,True,https://www.whitehouse.gov/omb/,True,True,False,True,False,False,False,False,True,max-age=31536000 ; includeSubDomains ; preload,31536000,True,True,False,False,False,True,True,True,False
budgetlob.gov,budgetlob.gov,https://budgetlob.gov,True,True,https://budgetlob.max.gov/,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
buildingamerica.gov,buildingamerica.gov,http://buildingamerica.gov,True,True,https://energy.gov/eere/buildings/building-america-bringing-building-innovations-market,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
business.gov,business.gov,http://business.gov,True,True,https://www.usa.gov/business?source=busa,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
businessdefense.gov,businessdefense.gov,http://www.businessdefense.gov,True,False,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
businessusa.gov,businessusa.gov,http://businessusa.gov,True,True,https://www.usa.gov/business?source=busa,True,False,False,False,False,False,False,False,True,max-age=31536000;,31536000,False,False,False,False,False,True,False,True,False
buyaccessible.gov,buyaccessible.gov,http://buyaccessible.gov,True,False,,True,False,False,False,False,False,False,False,True,max-age=31536000; includeSubDomains; preload ,31536000,True,True,False,False,False,True,False,True,False
buyusa.gov,buyusa.gov,https://buyusa.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
campusdrugprevention.gov,campusdrugprevention.gov,https://www.campusdrugprevention.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains,31536000,False,False,False,False,False,True,True,True,False
cancer.gov,cancer.gov,https://www.cancer.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True,False
cancernet.gov,cancernet.gov,http://cancernet.gov,True,True,https://www.cancer.gov/,True,False,False,True,False,False,False,False,True,max-age=31536000; preload,31536000,False,False,False,False,False,True,True,True,False
cao.gov,cao.gov,http://cao.gov,True,False,,True,False,False,True,False,False,False,False,True,max-age=63072000; includeSubdomains;,63072000,True,False,False,False,False,True,False,True,False
cap.gov,cap.gov,http://cap.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
capital.gov,capital.gov,http://capital.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
capitol.gov,capitol.gov,https://capitol.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
capnhq.gov,capnhq.gov,https://www.capnhq.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
casl.gov,casl.gov,https://www.casl.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000,31536000,False,False,False,False,False,True,True,True,False
cavc.gov,cavc.gov,http://cavc.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cbca.gov,cbca.gov,http://cbca.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cbi-epa.gov,cbi-epa.gov,http://cbi-epa.gov,False,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cbo.gov,cbo.gov,https://cbo.gov,True,False,,True,True,False,True,False,False,False,False,False,,,False,False,False,False,False,True,True,False,False
cbonews.gov,cbonews.gov,http://www.cbonews.gov,True,False,,False,False,False,False,False,False,False,False,False,,,False,False,False,False,False,False,False,False,False
cbp.gov,cbp.gov,https://www.cbp.gov,True,False,,True,True,False,False,False,False,False,False,True,max-age=31536001,31536001,False,False,False,False,False,True,True,True,False
ccac.gov,ccac.gov,https://www.ccac.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,True,True,False,False,False,True,True,True,False
cdc.gov,cdc.gov,https://www.cdc.gov,True,False,,True,True,False,True,False,False,False,False,True,max-age=31536000; includeSubDomains; preload,31536000,False,False,False,False,False,True,True,True,False
cdcpartners.gov,cdcpartners.gov,http://www.cdcpartners.gov,True,True,,False,False,False,False,False,True,False,False,False,,,False,False,False,False,False,False,False,False,False
